n przestawienia_mysort porównania_mysort
700 3564 6568
700 3752 8141
700 3483 6684
700 4505 8216
700 4171 6890
700 3741 6974
700 4070 7007
700 3686 6984
700 3830 6699
700 3957 7483
700 4226 7079
700 4181 6681
700 4078 7135
700 4620 7515
700 3727 7083
700 4097 7278
700 4027 6532
700 3722 6685
700 3637 6631
700 4012 6831
700 4325 7660
700 3636 7236
700 4141 7330
700 3717 6844
700 3343 7383
700 3981 6945
700 3722 7260
700 3856 7166
700 3559 6443
700 4019 7531
700 3995 7322
700 3612 6693
700 3411 6950
700 3938 6982
700 4742 7686
700 4242 6965
700 4091 7483
700 4296 6870
700 4071 6662
700 5270 7869
700 3672 7746
700 3892 6938
700 3467 8070
700 4502 7793
700 3737 7623
700 3987 6934
700 4098 6932
700 3622 7019
700 3883 7065
700 4059 7140
700 4173 7204
700 4479 7703
700 5032 8153
700 4072 7614
700 4566 7691
700 3869 6971
700 3598 6395
700 3545 6944
700 3984 7377
750 3901 7247
750 5021 7504
750 4233 7468
750 4219 7950
750 3944 7010
750 3951 8209
750 4820 8324
750 4567 7849
750 4754 8249
750 4734 7713
750 5558 9633
750 4251 8221
750 4038 7653
750 4466 8028
750 3915 8435
750 5148 8611
750 4614 7374
750 4331 7579
750 4510 8031
750 4083 7470
750 4279 7841
750 4736 8249
750 4282 7808
750 3900 7044
750 4744 7970
750 3820 8157
750 4279 7441
750 4740 7472
750 5611 8473
750 3603 7729
750 3927 7566
750 4100 7270
750 3903 7180
750 4352 7860
750 5188 8062
750 4742 7985
750 3805 7850
750 4354 7255
750 3329 7349
750 3901 7992
750 3745 8326
750 4095 7659
750 4159 7380
750 4428 7718
750 4356 7179
750 4261 7762
750 3995 8153
750 4124 7437
750 4856 8167
750 4258 7245
750 4013 7243
750 4562 7645
750 4609 7307
750 4368 7672
750 4114 7136
750 4379 8073
750 3805 7506
750 5113 8300
750 4321 8083
750 4275 7971
750 3880 7502
750 4640 7771
750 5179 8360
750 4538 7611
750 4275 7756
750 4890 8160
750 4767 7660
750 4202 7900
750 3622 7370
750 3894 8032
750 3915 7268
750 3833 7279
750 3996 7119
750 4905 7810
750 4964 7863
750 4561 7891
750 4093 7353
750 3856 7935
750 4235 7341
750 4178 7641
750 4416 7302
750 4288 8294
750 4691 8110
750 4269 8830
750 4806 7708
750 4803 7802
750 4439 7402
750 4729 8065
750 3946 7522
750 3876 8367
750 4969 9037
750 4711 7840
750 4739 8072
750 4569 7918
750 5017 7872
750 4328 7485
750 4182 7245
750 4009 7698
750 3984 7160
750 4384 7938
800 4713 8775
800 5293 8823
800 4509 9191
800 5304 8418
800 4407 8041
800 4959 8754
800 3925 8001
800 3878 8247
800 3800 7350
800 4949 8136
800 4279 8473
800 4338 8926
800 4649 7898
800 4886 9260
800 4657 8515
800 4398 7820
800 4206 8437
800 4108 10126
800 4855 7694
800 5005 8508
800 4464 7791
800 5648 9111
800 4484 7869
800 5794 9480
800 5096 8578
800 4401 8943
800 4532 8152
800 4572 7998
800 4729 8738
800 4869 8884
800 4829 7975
800 4350 8172
800 4479 7905
800 5096 8548
800 5302 8729
800 4332 8160
800 4321 8145
800 4072 7723
800 4040 8235
800 4935 8897
800 4123 8667
800 4741 8582
800 4137 8037
800 3903 7916
800 4468 8459
800 5652 9651
800 4526 8402
800 4840 7766
800 4819 8715
800 4694 8438
800 4516 9035
800 4367 7710
800 5808 9343
800 4597 8734
800 4049 8437
800 4420 7923
800 4493 8860
800 3985 8134
800 4846 8908
800 4859 8236
800 4489 7762
800 4573 8334
800 4166 7706
800 4685 8314
800 4783 8074
800 4394 8302
800 4699 8279
800 4433 8174
800 5245 8354
800 5083 8330
800 4413 8534
800 5145 8846
800 4429 8178
800 4596 8536
800 5650 9301
800 4523 8068
800 4226 9178
800 4855 7739
800 5111 8574
800 4554 8097
800 4857 8184
800 4741 9151
800 4489 8024
800 4086 7903
800 4187 7965
800 4676 8040
800 4568 8219
800 4677 7890
800 4494 7862
800 4869 8811
800 4556 8087
800 4235 7675
800 4756 8628
800 5452 8397
800 4593 8628
800 4588 8135
800 4304 8462
800 5354 8762
800 4687 8090
800 4586 8482
850 4861 8812
850 5099 8530
850 4932 8830
850 4977 9232
850 5004 9009
850 5516 9280
850 4750 8764
850 5195 9639
850 4815 9047
850 4826 9350
850 4768 8363
850 4625 8795
850 4024 7996
850 4501 8764
850 4854 8682
850 4239 8681
850 5636 8736
850 5686 9571
850 4155 8471
850 4952 9379
850 4931 8249
850 4372 8478
850 4747 8538
850 5261 9531
850 4597 8088
850 4634 9861
850 5239 8767
850 4932 8965
850 5148 9639
850 5901 9598
850 4832 9396
850 4749 8686
850 4600 8685
850 4841 8478
850 5739 9758
850 4872 8455
850 5152 8724
850 4868 8850
850 4827 8943
850 5406 9353
850 4397 9292
850 4626 9292
850 4952 9031
850 4738 8919
850 4582 8306
850 4203 8714
850 4880 9386
850 5242 8744
850 5089 8337
850 5436 9593
850 6239 9594
850 5647 8844
850 4478 8911
850 4493 9470
850 4379 8500
850 5314 8541
850 4771 9390
850 5530 10220
850 4952 9721
850 5216 9056
850 5027 8868
850 5045 9785
850 4316 9032
850 4828 8780
850 4818 9323
850 4686 8375
850 5305 9451
850 5098 8465
850 4863 8738
850 5290 9426
850 5030 9026
850 4468 10001
850 5122 8971
850 4836 8281
850 4584 9595
850 5090 9095
850 4745 8771
850 6185 9372
850 6067 9178
850 4897 8293
850 4963 8965
850 5339 9243
850 5169 9389
850 5535 9453
850 5232 9832
850 5541 9288
850 4659 9279
850 4517 8802
850 4648 8845
850 5215 10121
850 5511 9165
850 5375 9352
850 4835 8854
850 5125 9220
850 4954 8690
850 5206 8534
850 4842 8506
850 5427 9286
850 5352 8895
850 5899 10200
900 4961 9092
900 5551 9301
900 5871 10628
900 5294 9544
900 5524 9017
900 4666 9290
900 4998 9098
900 5107 8991
900 6272 9778
900 4866 9618
900 4824 9913
900 5058 8876
900 6041 10118
900 5508 9901
900 6301 10781
900 5170 9006
900 5410 9748
900 6414 10093
900 4938 9022
900 5296 8916
900 6096 11088
900 6232 10019
900 5621 9683
900 5468 9976
900 5052 8883
900 6154 9889
900 4530 9952
900 5269 9631
900 4723 8834
900 4551 8999
900 5116 9238
900 4785 8736
900 4769 9312
900 6130 10720
900 4822 8989
900 5497 9152
900 4969 9326
900 5120 9124
900 4789 9500
900 5623 9591
900 5900 9898
900 5124 9217
900 5441 9793
900 5486 9405
900 6210 9855
900 4817 8732
900 5195 9077
900 5721 9410
900 5319 9241
900 5832 9690
900 5108 10216
900 4660 8974
900 5404 9995
900 4983 9043
900 5321 9779
900 5873 9808
900 5716 9912
900 5015 9362
900 4998 9818
900 6239 9895
900 5473 9169
900 5128 10166
900 5127 9627
900 5893 9714
900 4444 10965
900 5163 9153
900 6337 9944
900 4585 9182
900 5054 9708
900 5289 9221
900 5315 9772
900 5910 10622
900 5199 9447
900 6158 9897
900 5486 9706
900 5558 9725
900 5699 10862
900 5711 9737
900 4986 8912
900 5706 9347
900 5095 8976
900 5629 9641
900 5082 9026
900 4615 9146
900 5690 9900
900 4920 9019
900 5339 9799
900 6238 10267
900 5587 9975
900 5303 9683
900 5917 9996
900 5391 9971
900 5827 10086
900 5285 10179
900 4844 8941
900 5114 9830
900 6476 10632
900 4901 9949
900 5828 10494
900 4673 10257
950 5268 9638
950 6708 12018
950 6305 10833
950 5802 10407
950 5889 10177
950 5091 10206
950 4536 10375
950 5923 11239
950 5774 10236
950 5392 10131
950 5529 9776
950 5085 10402
950 5273 9667
950 6009 10010
