n przestawienia_dpqs porównania_dpqs
750 4752 12650
750 4149 12672
750 5034 16141
800 4702 18644
800 4584 19568
800 4245 17472
800 5026 16812
800 4998 14775
800 4595 14728
800 4658 15239
800 5764 13040
800 5192 15544
800 4154 17397
800 4816 17188
800 4710 14830
800 4767 13083
800 5392 17817
800 5036 22665
800 4840 13238
800 5103 13449
800 4922 14557
800 5118 17114
800 4998 13777
800 4950 16229
800 4875 15101
800 4632 15722
800 4810 15662
800 4980 13501
800 4500 13844
800 4639 16137
800 6049 15701
800 5981 12994
800 4928 23820
800 4880 14771
800 5517 18668
800 5949 14286
800 5089 13996
800 5068 14662
800 5149 16845
800 5720 19005
800 5015 14347
800 4469 14871
800 5572 17665
800 5075 15991
800 4808 14328
800 4567 15627
800 4979 20100
800 5932 14995
800 4439 21849
800 4421 14988
800 4901 13384
800 4816 15520
800 5667 14126
800 5285 14207
800 4780 14776
800 4926 14998
800 4920 13176
800 4367 16494
800 4802 17734
800 5371 12858
800 4308 15080
800 4844 13983
800 4750 15663
800 4931 13711
800 4695 15673
800 4862 16170
800 5084 20341
800 6056 15508
800 4932 16509
800 4678 16373
800 5435 13860
800 4291 17459
800 5080 14459
800 4478 13752
800 4695 11974
800 4841 18460
800 4983 12561
800 4831 15229
800 4581 14986
800 4764 16331
800 4744 20140
800 5035 18106
800 6012 13449
800 4970 13729
800 4628 14811
800 5048 17185
800 4797 16254
800 4543 17006
800 4945 16247
800 4709 13696
800 5049 15416
800 4764 12802
800 4658 16059
800 4693 13392
800 4950 13174
800 4870 15515
800 4782 14352
800 4292 15308
800 5245 14444
800 5344 17469
800 5043 14691
800 5535 15300
800 4413 13427
850 5150 16971
850 5780 17168
850 5720 17935
850 4603 20309
850 4913 13819
850 5449 17525
850 5071 15238
850 4892 16058
850 5012 21844
850 4920 18148
850 4552 15713
850 5292 17783
850 4583 18531
850 5415 16661
850 5792 16773
850 5363 18639
850 5257 16470
850 5257 19313
850 4818 18571
850 5319 17091
850 5235 15973
850 5267 14895
850 4585 24471
850 4586 25091
850 5495 15204
850 5516 17513
850 5498 16773
850 5390 17026
850 5194 13155
850 5698 15847
850 5795 15714
850 6464 18579
850 4626 17717
850 4545 16693
850 5490 16662
850 5317 16937
850 5791 16949
850 4957 14856
850 5604 16945
850 5228 15165
850 4924 16748
850 5202 15038
850 5110 15241
850 5531 14210
850 5966 18484
850 5487 16772
850 4881 30811
850 5449 16979
850 5573 19233
850 5034 13670
850 5233 14743
850 4802 15511
850 5043 18454
850 5384 17043
850 4927 13296
850 5663 15992
850 5375 14860
850 5079 17337
850 4629 16421
850 5726 16606
850 5251 17054
850 5146 21706
850 4981 15887
850 5197 16634
850 5001 14667
850 4431 22172
850 4853 18169
850 4837 17237
850 5202 18951
850 5641 16315
850 5274 20468
850 5021 15578
850 5397 14204
850 5659 16717
850 5313 16426
850 5237 13339
850 5229 15446
850 6011 16137
850 4733 16674
850 5278 15014
850 5573 17747
850 5890 13938
850 5221 32224
850 5096 16028
850 5515 14105
850 4927 16095
850 5509 18291
850 5681 15746
850 4879 15112
850 5457 15833
850 5452 15748
850 5193 26746
850 5465 14955
850 4760 18258
850 5355 22879
850 5142 18093
850 5261 14625
850 4780 15884
850 4939 16003
850 4565 16022
900 5596 22292
900 6060 16375
900 4905 15376
900 5725 15934
900 6148 16793
900 5657 17693
900 5093 21995
900 5527 17399
900 5514 20186
900 5326 17787
900 5415 18158
900 5626 21030
900 5328 19367
900 5100 18786
900 5347 16200
900 5530 15887
900 5866 14669
900 5528 15217
900 5745 19043
900 6170 24971
900 5325 15310
900 5990 19260
900 6146 20802
900 5495 17627
900 5511 17317
900 6523 19812
900 5319 20070
900 5858 19577
900 5939 17954
900 5858 14078
900 5172 17431
900 6092 19446
900 5760 14808
900 5258 18016
900 5714 15748
900 5924 14085
900 5148 19123
900 5698 16711
900 5131 15724
900 5469 16278
900 5413 17939
900 5821 17056
900 6074 16751
900 5511 18475
900 5853 18674
900 5702 19161
900 5323 17080
900 5343 15789
900 6576 25584
900 5332 15907
900 5352 16037
900 6484 17088
900 5993 16960
900 5840 14105
900 5614 23345
900 5440 14512
900 5486 15789
900 5394 16117
900 5515 17363
900 5639 16189
900 5367 15691
900 6706 24994
900 5961 16097
900 5410 19667
900 5876 14385
900 5717 21451
900 5615 16228
900 5622 22111
900 5087 20185
900 5773 15508
900 5420 25645
900 5867 18108
900 5655 22230
900 5376 15904
900 5079 20142
900 5823 17194
900 5244 18750
900 5662 20397
900 5504 20545
900 5142 18704
900 5364 16753
900 5579 14709
900 5405 19573
900 5227 20985
900 5454 18937
900 5522 16384
900 5765 22080
900 5504 14132
900 6237 22044
900 5959 13692
900 5048 19707
900 6020 15143
900 5655 16233
900 5953 19964
900 5445 19377
900 4826 17595
900 5562 16541
900 5877 16489
900 5730 18909
900 5474 18815
950 5815 16801
950 6166 15448
