size_n, comp_avg,  comp_maks, reads_avg, reads_maks, h_avg,   h_final   h_maks \n
90000, 62628.231917, 179999.000000, 17629.428378, 89564.000000, 57905.898339, 54636.000000, 90000.000000 
90000, 62735.441261, 179999.000000, 17736.637711, 89893.000000, 57887.421872, 54638.000000, 90000.000000 
90000, 62749.009967, 179999.000000, 17750.205344, 89866.000000, 57983.557228, 54831.000000, 90000.000000 
90000, 62684.951811, 179999.000000, 17686.148878, 89639.000000, 57921.088811, 54527.000000, 90000.000000 
100000, 69643.418280, 199999.000000, 19644.614455, 99869.000000, 64361.292645, 60764.000000, 100000.000000 
100000, 69698.677705, 199999.000000, 19699.873845, 99899.000000, 64353.076990, 60771.000000, 100000.000000 
100000, 69709.045710, 199999.000000, 19710.243015, 99801.000000, 64303.624030, 60538.000000, 100000.000000 
100000, 69697.728810, 199999.000000, 19698.925625, 99611.000000, 64343.478825, 60636.000000, 100000.000000 
100000, 69630.163690, 199999.000000, 19631.360310, 99763.000000, 64351.521740, 60675.000000, 100000.000000 
100000, 69669.398280, 199999.000000, 19670.595190, 99918.000000, 64306.368690, 60617.000000, 100000.000000 
100000, 69625.120265, 199999.000000, 19626.316620, 99633.000000, 64365.294085, 60728.000000, 100000.000000 
100000, 69610.769075, 199999.000000, 19611.965795, 99939.000000, 64315.260375, 60655.000000, 100000.000000 
100000, 69736.545990, 199999.000000, 19737.742555, 99698.000000, 64396.857820, 60686.000000, 100000.000000 
100000, 69633.383860, 199999.000000, 19634.581460, 99663.000000, 64302.875040, 60479.000000, 100000.000000 
