n przestawienia porównania
1200 1040 2670
1200 934 2517
1200 1787 4145
1200 1901 4091
1200 1040 2440
1200 3087 5106
1200 2488 4498
1200 1928 5635
1200 2635 5434
1200 2087 4479
1200 1739 3063
1200 1611 4853
1200 2037 3960
1200 2952 5930
1200 4317 7089
1200 3479 4918
1200 1530 3680
1200 1702 3680
1200 2367 4569
1200 1496 2533
1200 2228 3305
1200 1568 3754
1200 2296 3693
1200 1660 3593
1200 1650 4104
1200 1275 2914
1200 1554 3913
1200 1230 2820
1200 1201 3565
1200 1274 2780
1200 1093 3120
1200 3093 5111
1200 2015 3624
1200 2699 5270
1200 1458 3048
1200 1962 3489
1200 2395 5048
1200 1894 4278
1200 3495 5320
1200 1346 4381
1200 2497 4623
1200 2317 3829
1200 3459 5456
1200 1519 3242
1200 2978 8063
1200 953 2604
1200 1669 3388
1200 1029 2629
1200 2136 4483
1200 1271 3905
1200 3203 4228
1200 2523 3876
1200 1925 3721
1200 2596 4489
1200 3575 4728
1200 1744 3349
1200 2477 3280
1200 2596 4980
1200 1198 3291
1200 1663 3500
1200 5008 6199
1200 2417 4039
1200 1422 2990
1200 3443 4189
1200 2042 3848
1200 1278 4116
1200 2384 4709
1200 1577 2879
1200 1389 2424
1200 2285 4327
1200 2302 5854
1200 3376 6237
1200 3168 5318
1200 1253 5215
1200 1248 3355
1200 1889 4015
1200 1547 2606
1200 1811 3894
1200 2059 3558
1200 1901 5730
1200 3678 5009
1200 1971 5501
1200 1884 4118
1200 2569 4661
1200 1404 4132
1200 2209 3104
1200 2756 5873
1200 2174 5243
1200 2761 5514
1200 2086 4077
1200 1543 2414
1200 2113 4257
1200 1498 2963
1200 3860 6231
1200 1725 3030
1200 1292 3172
1300 2926 4473
1300 1545 4840
1300 3755 6181
1300 2260 5028
1300 1808 5520
1300 2472 4664
1300 2322 5071
1300 2081 3577
1300 1306 3107
1300 2188 3773
1300 2461 3752
1300 3876 6742
1300 1480 6578
1300 2329 4257
1300 964 2330
1300 1689 3607
1300 996 2679
1300 4548 7129
1300 863 2465
1300 1658 3418
1300 864 3629
1300 1222 3297
1300 1272 4067
1300 2351 4696
1300 1386 4958
1300 2422 3833
1300 1016 3536
1300 2487 4834
1300 1763 5003
1300 2128 5213
1300 3120 4700
1300 2311 5947
1300 2179 3640
1300 2322 3908
1300 1369 2330
1300 1002 4721
1300 2272 5537
1300 1534 3012
1300 2390 4208
1300 2014 4874
1300 2619 4435
1300 1668 3527
1300 1350 2698
1300 1735 3478
1300 2570 4509
1300 1494 3315
1300 2500 3523
1300 1420 2960
1300 2642 4467
1300 2188 3713
1300 3567 6455
1300 4328 6397
1300 2636 5120
1300 2147 4392
1300 1744 3200
1300 2521 5113
1300 1421 2506
1300 1302 2879
1300 1104 2843
1300 2113 4136
1300 1843 3228
1300 1984 3552
1300 1027 2768
1300 1946 4201
1300 1135 2658
1300 3218 7035
1300 2908 5012
1300 2472 3451
1300 2302 5010
1300 3582 5035
1300 1703 2724
1300 1063 2992
1300 4049 7408
1300 3868 5800
1300 2867 4262
1300 2113 4702
1300 1509 3109
1300 1691 2889
1300 1786 3588
1300 1692 4818
1300 1290 3010
1300 2207 3995
1300 1807 3770
1300 4720 8279
1300 2993 4888
1300 3789 5763
1300 1184 3015
1300 3732 5441
1300 3342 6059
1300 872 2385
1300 1325 2696
1300 1938 4692
1300 2207 4098
1300 3080 4780
1300 2607 4191
1300 3710 4983
1300 1579 4949
1300 3398 5928
1300 4070 7540
1300 4060 5789
1400 945 3762
1400 1607 5214
1400 1721 4699
1400 2236 5460
1400 1321 3351
1400 2614 6763
1400 1664 2638
1400 2312 4013
1400 3257 6550
1400 5197 8946
1400 1488 3694
1400 2364 4587
1400 2602 3978
1400 4389 7256
1400 3321 5904
1400 1424 2894
1400 979 2580
1400 1833 3546
1400 1744 4945
1400 2940 5486
1400 3432 5514
1400 1236 2650
1400 3295 4891
1400 1605 2561
1400 2649 5100
1400 2426 6038
1400 1451 4602
1400 2258 3464
1400 3974 6123
1400 4508 7267
1400 4248 7620
1400 1467 4318
1400 3828 5455
1400 2194 4931
1400 2146 4809
1400 3636 6001
1400 2798 5143
1400 2150 4013
1400 4092 5856
1400 3690 4938
1400 2535 6555
1400 1511 2327
1400 2066 3976
1400 4049 5780
1400 2301 6312
1400 860 3187
1400 1948 5915
1400 2045 3240
1400 1977 3597
1400 2342 3656
1400 1478 4330
1400 3662 6168
1400 1985 3205
1400 1833 4719
1400 1584 3482
1400 2492 5557
1400 1519 2868
1400 3099 5747
1400 2438 4767
1400 1974 3975
1400 1976 5643
1400 3732 5421
1400 1402 2692
1400 2063 4124
1400 2263 3822
1400 2171 4324
1400 2123 5042
1400 1960 3316
1400 3755 6796
1400 3135 4491
1400 2804 4011
1400 2393 5099
1400 1467 5020
1400 2102 7172
1400 3082 7406
1400 1569 3901
1400 2222 4753
1400 2752 4470
1400 2063 3373
1400 2298 5518
1400 2292 3722
1400 1496 2995
1400 2227 4831
1400 1412 6128
1400 1348 3913
1400 1997 4587
1400 2056 5149
1400 1943 5529
1400 2791 4271
1400 1645 4221
1400 2900 4607
1400 1902 4420
1400 2510 3754
1400 993 2965
1400 2146 4148
1400 2658 4679
1400 3092 5178
1400 1784 2870
1400 2351 5282
1400 1577 3306
1500 1790 3375
1500 3759 5433
1500 3410 5556
1500 4028 6390
1500 2625 4633
1500 2561 5475
1500 3350 7287
1500 2579 4493
1500 3619 5205
1500 4262 7393
1500 1495 3383
1500 1568 2456
1500 3211 5181
1500 1703 4009
1500 2756 4105
1500 1794 4980
1500 1374 2905
1500 3983 4906
1500 2603 6579
1500 1207 3169
1500 1783 4288
1500 1234 2834
1500 2290 6289
1500 1837 5329
1500 2408 5860
1500 2264 5515
1500 2131 6274
1500 1682 3281
1500 3274 5462
1500 2533 4874
1500 4313 7367
1500 1793 4232
1500 1171 3149
1500 4059 5901
1500 3150 5313
1500 2152 5423
1500 2846 5119
1500 1650 2608
1500 1894 3688
1500 1939 4853
1500 814 3394
1500 1997 7285
1500 3648 7105
1500 1519 3030
1500 3316 7555
1500 1914 3542
1500 2486 4835
1500 1623 4290
1500 2594 5585
1500 3263 5868
1500 3025 4391
1500 1570 4471
1500 2737 4548
1500 2344 5559
1500 3161 7356
1500 3220 6994
1500 2874 3837
1500 2562 7092
1500 1825 3782
1500 1781 4575
1500 2338 5237
1500 2265 3971
1500 2600 4159
1500 2009 4164
1500 2221 5472
1500 6719 9382
1500 2884 6843
1500 1701 5943
1500 2444 4622
1500 3368 6432
1500 3778 6998
1500 2443 5042
1500 2022 4147
1500 2672 5789
1500 3214 5753
1500 1868 3677
1500 1526 3472
1500 3737 8092
1500 2885 5188
1500 1929 4223
1500 2192 4966
1500 2383 5728
1500 2955 6212
1500 1908 3489
1500 4740 6651
1500 3295 5319
1500 2836 6094
1500 3754 6180
1500 2175 4112
1500 2598 6823
1500 2874 4866
1500 1698 3742
1500 2112 3798
1500 1064 2696
1500 3874 8588
1500 3105 6907
1500 2762 5465
1500 2347 4765
1500 3152 8076
1500 1987 4883
1600 2180 5650
1600 1907 3794
1600 2007 3213
1600 2483 3685
1600 2930 5991
1600 3012 5528
1600 3161 5041
1600 6073 7928
1600 1649 2562
1600 2260 6004
1600 1675 2934
1600 2786 3745
1600 3166 5405
1600 1899 3734
1600 2086 4535
1600 1213 4712
1600 2857 4649
1600 3621 8026
1600 2684 5053
1600 4326 6575
1600 2721 5367
1600 2498 5599
1600 2940 4496
1600 1640 7146
1600 2065 4363
1600 1708 3881
1600 3778 5659
1600 2499 4475
1600 2258 3443
1600 3250 5632
1600 3182 8874
1600 2650 4713
1600 2724 4533
1600 3013 7409
1600 5697 8662
1600 1574 4208
1600 1828 3328
1600 1975 3526
1600 2006 4691
1600 3296 6996
1600 3738 6560
1600 1722 2831
1600 4158 5513
1600 2918 5882
1600 2127 3610
1600 2736 5589
1600 2432 4824
1600 4321 8069
1600 2848 5790
1600 3034 5091
1600 4099 6636
1600 1617 3143
1600 2114 3623
1600 3640 9470
1600 1603 4731
1600 1794 5027
1600 5043 7065
1600 3070 5200
1600 1967 4841
1600 3657 6306
1600 1169 4458
1600 3686 5677
1600 1661 2641
1600 1568 3900
1600 4075 8311
1600 1544 4502
1600 3007 5234
1600 1519 3313
1600 1725 3676
1600 3094 6000
1600 2733 4706
1600 1685 4400
1600 3967 6739
1600 3648 7505
1600 2336 7261
1600 2463 4200
1600 1891 4560
1600 3989 6861
1600 2020 4899
1600 3260 4917
1600 4162 6394
1600 3298 5734
1600 4152 5180
1600 1902 3574
1600 4366 5969
1600 1171 5359
1600 1218 5706
1600 3090 4707
1600 1362 3392
1600 2561 4330
1600 1802 6368
1600 2348 6808
1600 4317 9806
1600 1897 3592
1600 3130 6081
1600 2143 6254
1600 3560 5086
1600 3829 8400
1600 1897 3211
1600 2052 6122
1700 1735 3524
1700 1944 4458
1700 3596 7305
1700 4369 7026
1700 2047 4198
1700 1772 5166
1700 2122 4953
1700 2177 5392
1700 4310 8289
1700 4072 5504
1700 2619 5419
1700 1623 4799
1700 3290 4943
1700 1654 4134
1700 3204 6319
1700 2550 5276
1700 1875 4637
1700 2356 6529
1700 3683 7443
1700 2161 5204
1700 2219 4972
1700 3489 4903
1700 2166 4020
1700 3820 6763
1700 2297 3703
1700 3758 5879
1700 3268 6067
1700 1950 4140
1700 2396 5269
1700 4025 6475
1700 3667 8821
1700 4912 7146
1700 1866 6323
1700 4768 7949
1700 3611 6990
1700 1702 3949
1700 2217 5297
1700 2386 5585
1700 6241 7474
1700 2225 4094
1700 2066 5254
1700 3294 7586
1700 1988 4724
1700 1921 4033
1700 2420 4321
1700 5449 9250
1700 2237 4454
1700 3054 5814
1700 4578 8415
1700 2145 4347
1700 2042 4413
1700 2967 5589
1700 2173 5381
1700 2702 5097
1700 4580 8197
1700 3208 8638
1700 1866 3630
1700 2612 5372
1700 1749 4326
1700 3570 5305
1700 4595 8163
1700 2090 5611
1700 3047 5214
1700 1242 4392
1700 2301 3618
1700 1742 3699
1700 2103 4479
1700 4618 7337
1700 1824 3204
1700 2246 5843
1700 2507 3919
1700 1705 3267
1700 2026 3627
1700 3123 4972
1700 5030 7818
1700 2047 5741
1700 4829 7026
1700 3712 5488
1700 1652 4517
1700 2108 4296
1700 3335 5412
1700 1688 5098
1700 3034 6537
1700 3871 5903
1700 2529 4244
1700 2344 4094
1700 1972 3322
1700 6152 9157
1700 5112 8475
1700 1600 5163
1700 1744 2694
1700 7024 8656
1700 1629 4685
1700 1972 4127
1700 4381 7351
1700 3049 6001
1700 2613 6142
1700 2899 4839
1700 1019 3020
1700 2400 7469
1800 3090 5187
1800 2806 5766
1800 1701 6063
1800 2046 7221
1800 4190 6140
1800 3032 9237
1800 2544 4532
1800 6022 7286
1800 6191 10447
1800 4498 7061
1800 4972 9477
1800 2972 5725
1800 2090 4216
1800 1955 6535
1800 4867 6119
1800 3431 9142
1800 4577 6505
1800 1550 3561
1800 1944 5421
1800 2214 4569
1800 3896 6457
1800 1930 6298
1800 3592 5650
1800 3693 5628
1800 900 1801
1800 2949 5032
1800 4538 5899
1800 2335 4377
1800 2621 4342
1800 3028 5685
1800 2156 6581
1800 5422 7793
1800 3368 6340
1800 2744 5272
1800 4807 8528
1800 3136 7183
1800 1422 5145
1800 4491 11167
1800 2803 5385
1800 4036 7080
1800 2922 6494
1800 2144 5411
1800 4776 7574
1800 2270 4283
1800 2568 4576
1800 3115 5879
1800 4535 10142
1800 3255 5875
1800 2690 6555
1800 3431 5728
