n przestawienia porównania
1800 2119 3927
1800 1456 3265
1800 3797 5607
1800 57 1860
1800 3615 5421
1800 5615 7429
1800 1103 2910
1800 1088 2896
1800 191 1996
1800 3305 5115
1800 1948 3758
1800 1037 2843
1800 4705 6519
1800 904 2712
1800 1485 3293
1800 2020 3827
1800 1685 3490
1800 1602 3411
1800 2350 4157
1800 965 2772
1800 428 2232
1800 189 1994
1800 3494 5302
1900 3352 5265
1900 1695 3603
1900 3216 5126
1900 1175 3081
1900 1781 3689
1900 3744 5651
1900 2057 3967
1900 4504 6416
1900 966 2873
1900 3048 4959
1900 3114 5021
1900 1849 3761
1900 3842 5755
1900 2102 4010
1900 1230 3138
1900 1560 3474
1900 2384 4291
1900 2373 4281
1900 2424 4331
1900 3365 5275
1900 1662 3569
1900 2862 4768
1900 1082 2989
1900 1038 2942
1900 2257 4168
1900 2307 4218
1900 47 1951
1900 1274 3186
1900 582 2489
1900 1669 3574
1900 2845 4754
